,index,tconst,titleType,primaryName,originalName,isAdult,yearOfRelease,Duration,genres,averageRating,numVotes,director(s),cast
27,1050901,tt7539856,tvEpisode,State of the Uterus,State of the Uterus,0,2018,57,"Comedy,Crime,Drama",7.6,1036,['Constantine Makris'],"['Natasha Lyonne', 'Taylor Schilling', 'Danielle Brooks', 'Uzo Aduba']"
28,1057695,tt7689906,movie,Monsters and Men,Monsters and Men,0,2018,96,"Crime,Drama,Thriller",5.9,2003,['Reinaldo Marcus Green'],"['John David Washington', 'Kelvin Harrison Jr.', 'Anthony Ramos', 'Chanté Adams']"
29,999764,tt6439884,tvEpisode,The Car,The Car,0,2018,43,"Comedy,Drama,Romance",9.2,2149,['Ken Olin'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
30,999763,tt6439882,tvEpisode,The Wedding,The Wedding,0,2018,43,"Comedy,Drama,Romance",8.7,1925,['Ken Olin'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
31,999762,tt6439880,tvEpisode,"This Big, Amazing, Beautiful Life","This Big, Amazing, Beautiful Life",0,2018,43,"Comedy,Drama,Romance",7.6,1892,['Rebecca Asher'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
32,999761,tt6439878,tvEpisode,A Philadelphia Story,A Philadelphia Story,0,2018,43,"Comedy,Drama,Romance",8.2,1097,['Chris Koch'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
33,999760,tt6439876,tvEpisode,"Vegas, Baby","Vegas, Baby",0,2018,43,"Comedy,Drama,Romance",8.0,1744,['Joanna Kerns'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
34,999759,tt6439874,tvEpisode,Nine Bucks,Nine Bucks,0,2018,43,"Comedy,Drama,Romance",8.7,1356,['Ken Olin'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
35,999758,tt6439870,tvEpisode,Super Bowl Sunday,Super Bowl Sunday,0,2018,46,"Comedy,Drama,Romance",9.8,4849,"['John Requa', 'Glenn Ficarra']","['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
36,999757,tt6439868,tvEpisode,That'll Be the Day,That'll Be the Day,0,2018,43,"Comedy,Drama,Romance",9.4,2765,['Uta Briesewitz'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
37,999756,tt6439866,tvEpisode,Clooney,Clooney,0,2018,43,"Comedy,Drama,Romance",8.5,1710,['Zetna Fuentes'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
38,999754,tt6439862,tvEpisode,The Fifth Wheel,The Fifth Wheel,0,2018,43,"Comedy,Drama,Romance",9.2,2201,['Chris Koch'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
39,1055597,tt7641606,tvEpisode,"The Good, the Bad and the Cuddly","The Good, the Bad and the Cuddly",0,2018,41,"Action,Adventure,Drama",8.5,2025,['Dermott Downs'],"['Brandon Routh', 'Amy Louise Pemberton', 'Caity Lotz', 'Maisie Richardson-Sellers']"
40,1050854,tt7538918,tvEpisode,Chapter 66,Chapter 66,0,2018,53,Drama,4.2,5795,['Alik Sakharov'],"['Diane Lane', 'Robin Wright', 'Campbell Scott', 'Michael Kelly']"
41,986609,tt6205872,movie,Assassination Nation,Assassination Nation,0,2018,108,"Action,Comedy,Crime",6.0,16128,['Sam Levinson'],"['Odessa Young', 'Suki Waterhouse', 'Abra', 'Hari Nef']"
42,1038673,tt7246768,tvEpisode,Chapter 12,Chapter 12,0,2018,42,"Action,Drama,Sci-Fi",8.4,1994,['Ellen Kuras'],"['Bill Irwin', 'Dan Stevens', 'Aubrey Plaza', 'Rachel Keller']"
43,1001264,tt6469548,movie,The Head Hunter,The Head Hunter,0,2018,72,"Fantasy,Horror",5.3,5340,['Jordan Downey'],"['Christopher Rygh', 'Aisha Ricketts', 'Cora Kaufman']"
44,988724,tt6237612,movie,Accident Man,Accident Man,0,2018,105,"Action,Crime,Thriller",6.2,8082,['Jesse V. Johnson'],"['Ray Stevenson', 'Scott Adkins', 'Martyn Ford', 'Ashley Greene']"
45,1019501,tt6852872,movie,Elizabeth Harvest,Elizabeth Harvest,0,2018,108,"Horror,Sci-Fi,Thriller",5.8,7022,['Sebastian Gutierrez'],"['Ciarán Hinds', 'Carla Gugino', 'Matthew Beard', 'Abbey Lee']"
46,988737,tt6237966,movie,Thaanaa Serndha Koottam,Thaanaa Serndha Koottam,0,2018,138,"Action,Comedy,Crime",6.7,5131,['Vignesh Shivan'],"['Karthik', 'Ramya Krishnan', 'Suriya', 'Keerthy Suresh']"
47,1009796,tt6663582,movie,The Spy Who Dumped Me,The Spy Who Dumped Me,0,2018,117,"Action,Adventure,Comedy",6.0,69940,['Susanna Fogel'],"['Justin Theroux', 'Mila Kunis', 'Vilma Szécsi', 'Blanka Györfi-Tóth']"
48,1051443,tt7550700,tvEpisode,Sportin' Waves,Sportin' Waves,0,2018,23,"Comedy,Drama,Music",8.3,1598,['Hiro Murai'],"['Donald Glover', 'Brian Tyree Henry', 'LaKeith Stanfield', 'RJ Walker']"
49,1026674,tt6999052,movie,Mario,Mario,0,2018,124,"Drama,Romance,Sport",7.4,3496,['Marcel Gisler'],"['Jürg Plüss', 'Aaron Altaras', 'Max Hubacher', 'Jessy Moravec']"
50,1038672,tt7246760,tvEpisode,Chapter 11,Chapter 11,0,2018,52,"Action,Drama,Sci-Fi",8.7,1841,['Sarah Adina Smith'],"['Bill Irwin', 'Dan Stevens', 'Aubrey Plaza', 'Rachel Keller']"
51,1009734,tt6662736,movie,What They Had,What They Had,0,2018,101,Drama,6.7,3652,['Elizabeth Chomko'],"['Robert Forster', 'Blythe Danner', 'Hilary Swank', 'Michael Shannon']"
52,1051454,tt7550952,movie,Hürkus,Hürkus,0,2018,113,"Biography,History,War",5.7,1043,['Kudret Sabanci'],"['Bora Akkas', 'Hilmi Cem Intepe', 'Gizem Karaca', 'Miray Daner']"
53,1035131,tt7176470,tvEpisode,What Lies Beneath,What Lies Beneath,0,2018,41,"Action,Drama,Fantasy",9.0,2015,['Amanda Row'],"['Matthew Daddario', 'Katherine McNamara', 'Dominic Sherwood', 'Alberto Rosende']"
54,999475,tt6433456,movie,Becoming Astrid,Unga Astrid,0,2018,123,"Biography,Drama",7.1,5143,['Pernille Fischer Christensen'],"['Trine Dyrholm', 'Maria Bonnevie', 'Henrik Rafaelsen', 'Alba August']"
55,1035133,tt7176484,tvEpisode,Thy Soul Instructed,Thy Soul Instructed,0,2018,41,"Action,Drama,Fantasy",9.0,1975,['Emile B. Levisetti'],"['Matthew Daddario', 'Katherine McNamara', 'Dominic Sherwood', 'Alberto Rosende']"
56,1018507,tt6835498,movie,Crystal Swan,Khrustal,0,2018,95,Drama,7.0,1576,['Darya Zhuk'],"['Yuriy Borisov', 'Ivan Mulin', 'Svetlana Anikey', 'Alina Nasibullina']"
57,1035130,tt7176466,tvEpisode,The Powers That Be,The Powers That Be,0,2018,42,"Action,Drama,Fantasy",9.1,2083,['Peter DeLuise'],"['Matthew Daddario', 'Katherine McNamara', 'Dominic Sherwood', 'Alberto Rosende']"
58,1049352,tt7508606,tvEpisode,The Slabside Redemption,The Slabside Redemption,0,2018,41,"Action,Adventure,Crime",9.4,3081,['James Bamford'],"['David Ramsey', 'Stephen Amell', 'Echo Kellum', 'Emily Bett Rickards']"
59,999492,tt6433832,movie,The Tree of Blood,El árbol de la sangre,0,2018,130,Drama,6.4,2505,['Julio Medem'],"['Joaquín Furriel', 'Álvaro Cervantes', 'Úrsula Corberó', 'Patricia López Arnaiz']"
60,1001092,tt6466464,movie,The Monkey King 3,Xi you ji zhi nü er guo,0,2018,114,"Action,Adventure,Family",5.5,1222,['Soi Cheang'],"['Aaron Kwok', 'Shaofeng Feng', 'Zanilia Zhao', 'Shenyang Xiao']"
61,1026569,tt6997574,tvMovie,"My Teacher, My Obsession","My Teacher, My Obsession",0,2018,90,"Drama,Thriller",4.4,1905,['Damián Romay'],"['Rusty Joiner', 'Lucy Loken', 'Laura Bilgeri', 'Jana Lee Hamblin']"
62,1051229,tt7546486,movie,Kayhan,Kayhan,0,2018,105,Comedy,2.1,2874,['Togan Gökbakar'],"['Sahan Gökbakar', 'Irfan Kangi', 'Gökçe Eyüboglu', 'Vahram Agakay']"
63,1011963,tt6708044,movie,The Tribe,La tribu,0,2018,90,"Comedy,Family",5.8,2359,['Fernando Colomo'],"['Carmen Machi', 'Paco León', 'María José Sarrate', 'Maribel del Pino']"
64,1009347,tt6650364,movie,Carbon,Carbon,0,2018,146,"Adventure,Thriller",6.9,1096,['Venu Isc'],"['Fahadh Faasil', 'Mamta Mohandas', 'Manikandan R. Achari', 'Chethan Jayalal']"
65,1049353,tt7508614,tvEpisode,Crossing Lines,Crossing Lines,0,2018,41,"Action,Adventure,Crime",8.3,2008,['Gordon Verheul'],"['David Ramsey', 'Stephen Amell', 'Echo Kellum', 'Emily Bett Rickards']"
66,1001160,tt6467592,tvEpisode,First Light,First Light,0,2018,49,"Action,Adventure,Drama",7.5,1447,['Gina Prince-Bythewood'],"['Gloria Reuben', 'Andrea Roth', 'Olivia Holt', 'Aubrey Joseph']"
67,1037692,tt7228356,tvEpisode,Sic Semper Tyrannis,Sic Semper Tyrannis,0,2018,42,"Drama,Mystery,Sci-Fi",8.7,2001,['Ian Samoil'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
68,1037693,tt7228358,tvEpisode,How We Get to Peace,How We Get to Peace,0,2018,42,"Drama,Mystery,Sci-Fi",8.6,2002,['Antonio Negret'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
69,1037696,tt7228366,tvEpisode,Damocles: Part Two,Damocles: Part Two,0,2018,42,"Drama,Mystery,Sci-Fi",9.6,5277,['Dean White'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
70,1019779,tt6857166,movie,Book Club,Book Club,0,2018,104,"Comedy,Drama,Romance",6.1,25755,['Bill Holderman'],"['Candice Bergen', 'Jane Fonda', 'Diane Keaton', 'Mary Steenburgen']"
71,1019766,tt6857040,movie,The Appearance,The Appearance,0,2018,111,"Horror,Thriller",4.7,1060,['Kurt Knight'],"['Michael Flynn', 'Adam Johnson', 'Kristian Nairn', 'Jake Stormoen']"
72,1037694,tt7228362,tvEpisode,The Warriors Will,The Warriors Will,0,2018,42,"Drama,Mystery,Sci-Fi",8.3,1895,['Henry Ian Cusick'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
73,1051319,tt7548898,tvEpisode,House of Special Purpose,House of Special Purpose,0,2018,88,Drama,6.8,1208,['Matthew Weiner'],"['Isabelle Huppert', 'Paul Reiser', 'Christina Hendricks', 'Jack Huston']"
74,1037695,tt7228364,tvEpisode,The Dark Year,The Dark Year,0,2018,42,"Drama,Mystery,Sci-Fi",8.5,1955,['Alex Kalymnios'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
75,1051305,tt7548570,movie,Swathanthryam Ardharathriyil,Swathanthryam Ardharathriyil,0,2018,138,"Action,Crime,Thriller",7.4,1232,['Tinu Pappachan'],"['Chemban Vinod Jose', 'Vinayakan', 'Antony Varghese', 'Tito Wilson']"
76,1037697,tt7228370,tvEpisode,Damocles: Part One,Damocles: Part One,0,2018,42,"Drama,Mystery,Sci-Fi",9.0,2391,['Dean White'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
77,1056769,tt7667344,tvEpisode,Simone,Simone,0,2018,54,"Comedy,Drama",8.3,1694,['Amy Sherman-Palladino'],"['Alex Borstein', 'Marin Hinkle', 'Michael Zegen', 'Rachel Brosnahan']"
78,1011959,tt6707906,movie,Odiyan,Odiyan,0,2018,167,"Action,Drama,Fantasy",5.5,3304,['V.A. Shrikumar'],"['Mohanlal', 'Prakash Raj', 'Manju Warrier', 'Manoj Joshi']"
79,1037688,tt7228342,tvEpisode,Shifting Sands,Shifting Sands,0,2018,42,"Drama,Mystery,Sci-Fi",8.3,2191,['Omar Madha'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
80,1037690,tt7228346,tvEpisode,Exit Wounds,Exit Wounds,0,2018,42,"Drama,Mystery,Sci-Fi",8.3,2024,['Michael C. Blundell'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
81,1037691,tt7228352,tvEpisode,Acceptable Losses,Acceptable Losses,0,2018,42,"Drama,Mystery,Sci-Fi",8.3,1931,['Mairzee Almas'],"['Paige Turco', 'Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos']"
82,1051401,tt7550154,tvEpisode,Ruin,Ruin,0,2018,43,"Crime,Drama,Mystery",8.7,1296,['Michael Caracciolo'],"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Amir Arison']"
83,1056816,tt7668842,movie,Enes Batur,Enes Batur Hayal mi Gerçek mi?,0,2018,110,Comedy,4.0,54385,['Kamil Cetin'],"['Enes Batur', 'Bilal Hanci', 'Atakan Özyurt', 'Fatih Yasin']"
84,1035192,tt7177774,tvEpisode,For Whom the Pig Oinks,For Whom the Pig Oinks,0,2018,28,"Action,Adventure,Animation",6.9,1839,['Frank Marino'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
85,1049367,tt7508732,tvEpisode,Unmasked,Unmasked,0,2018,42,"Action,Adventure,Crime",8.4,1883,['Alexandra La Roche'],"['David Ramsey', 'Stephen Amell', 'Echo Kellum', 'Emily Bett Rickards']"
86,1049366,tt7508730,tvEpisode,Level Two,Level Two,0,2018,42,"Action,Adventure,Crime",8.2,1908,['Ben Hernandez Bray'],"['David Ramsey', 'Stephen Amell', 'Echo Kellum', 'Emily Bett Rickards']"
87,1056770,tt7667348,tvEpisode,Someday...,Someday...,0,2018,43,"Comedy,Drama",8.3,1272,['Jamie Babbit'],"['Alex Borstein', 'Marin Hinkle', 'Michael Zegen', 'Rachel Brosnahan']"
88,1009879,tt6665296,tvEpisode,Fight or Flight,Fight or Flight,0,2018,43,"Drama,Mystery,Sci-Fi",8.8,2935,['Breck Eisner'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
89,1009880,tt6665300,tvEpisode,IFF,IFF,0,2018,42,"Drama,Mystery,Sci-Fi",9.0,2760,['Breck Eisner'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
90,1009881,tt6665304,tvEpisode,Assured Destruction,Assured Destruction,0,2018,44,"Drama,Mystery,Sci-Fi",8.9,2565,['Thor Freudenthal'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
91,1035101,tt7175992,movie,School's Out,L'heure de la sortie,0,2018,104,"Drama,Mystery,Thriller",6.5,2398,['Sébastien Marnier'],"['Laurent Lafitte', 'Emmanuelle Bercot', 'Victor Bonnel', 'Luàna Bajrami']"
92,1051048,tt7542576,movie,All About Nina,All About Nina,0,2018,97,"Comedy,Drama,Romance",6.1,2260,['Eva Vives'],"['Jay Mohr', 'Mary Elizabeth Winstead', 'Charlotte Newhouse', 'Brodie Reed']"
93,1037859,tt7231194,movie,R.I.P.,Ee. Ma. Yau,0,2018,120,"Comedy,Drama",8.3,2945,['Lijo Jose Pellissery'],"['Chemban Vinod Jose', 'Vinayakan', 'Dileesh Pothan', 'Kainakary Thankaraj']"
94,986181,tt6197494,movie,Malicious,Malicious,0,2018,90,"Horror,Thriller",5.0,3429,['Michael Winnick'],"['Delroy Lindo', 'Bojana Novakovic', 'Josh Stewart', 'Melissa Bolona']"
95,1055757,tt7643978,tvEpisode,The Captain,The Captain,0,2018,42,"Crime,Drama,Romance",7.5,2820,['Victoria Mahoney'],"['Penn Badgley', 'Zach Cherry', 'Elizabeth Lail', 'Luca Padovan']"
96,1049371,tt7508746,tvEpisode,The Demon,The Demon,0,2018,42,"Action,Adventure,Crime",8.6,2008,['Mark Bunting'],"['David Ramsey', 'Stephen Amell', 'Echo Kellum', 'Emily Bett Rickards']"
97,1009891,tt6665354,tvEpisode,Fallen World,Fallen World,0,2018,44,"Drama,Mystery,Sci-Fi",8.7,2121,['Jennifer Phang'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
98,1056820,tt7668870,movie,Searching,Searching,0,2018,102,"Drama,Mystery,Thriller",7.6,143269,['Aneesh Chaganty'],"['Debra Messing', 'John Cho', 'Michelle La', 'Joseph Lee']"
99,999765,tt6439886,tvEpisode,Six Thanksgivings,Six Thanksgivings,0,2018,44,"Comedy,Drama,Romance",8.3,1005,['Catherine Hardwicke'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
100,1051189,tt7545524,movie,Ben Is Back,Ben Is Back,0,2018,103,Drama,6.7,18981,['Peter Hedges'],"['Julia Roberts', 'Courtney B. Vance', 'Kathryn Newton', 'Lucas Hedges']"
101,1051191,tt7545566,movie,Skate Kitchen,Skate Kitchen,0,2018,106,Drama,6.8,3823,['Crystal Moselle'],"['Dede Lovelace', 'Kabrina Adams', 'Nina Moran', 'Rachelle Vinberg']"
102,1009892,tt6665358,tvEpisode,Congregation,Congregation,0,2018,42,"Drama,Mystery,Sci-Fi",8.9,2164,['Jennifer Phang'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
103,1009893,tt6665364,tvEpisode,Abaddon's Gate,Abaddon's Gate,0,2018,41,"Drama,Mystery,Sci-Fi",9.5,3092,['Simon Cellan Jones'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
104,1049356,tt7508628,tvEpisode,Due Process,Due Process,0,2018,42,"Action,Adventure,Crime",8.3,1858,['Kristin Windell'],"['David Ramsey', 'Stephen Amell', 'Echo Kellum', 'Emily Bett Rickards']"
105,1009882,tt6665310,tvEpisode,Reload,Reload,0,2018,44,"Drama,Mystery,Sci-Fi",8.9,2545,['Thor Freudenthal'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
106,1009883,tt6665312,tvEpisode,Triple Point,Triple Point,0,2018,43,"Drama,Mystery,Sci-Fi",9.4,3215,['Jeff Woolnough'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
107,1009884,tt6665314,tvEpisode,Immolation,Immolation,0,2018,43,"Drama,Mystery,Sci-Fi",9.5,3233,['Jeff Woolnough'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
108,1009885,tt6665320,tvEpisode,Delta-V,Delta-V,0,2018,44,"Drama,Mystery,Sci-Fi",8.5,2519,['Kenneth Fink'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
109,1009889,tt6665350,tvEpisode,Dandelion Sky,Dandelion Sky,0,2018,42,"Drama,Mystery,Sci-Fi",9.0,2294,['David Grossman'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
110,1051130,tt7543930,movie,In Safe Hands,Pupille,0,2018,110,Drama,7.2,1641,['Jeanne Herry'],"['Élodie Bouchez', 'Sandrine Kiberlain', 'Gilles Lellouche', 'Olivia Côte']"
111,1009887,tt6665326,tvEpisode,It Reaches Out,It Reaches Out,0,2018,43,"Drama,Mystery,Sci-Fi",9.2,2726,['Kenneth Fink'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
112,1009888,tt6665336,tvEpisode,Intransigence,Intransigence,0,2018,43,"Drama,Mystery,Sci-Fi",8.4,2169,['David Grossman'],"['Cas Anvar', 'Steven Strait', 'Wes Chatham', 'Dominique Tipper']"
113,1049363,tt7508706,tvEpisode,The Longbow Hunters,The Longbow Hunters,0,2018,42,"Action,Adventure,Crime",8.0,2085,['Laura Belsey'],"['David Ramsey', 'Stephen Amell', 'Echo Kellum', 'Emily Bett Rickards']"
114,1049362,tt7508702,tvEpisode,"Elseworlds, Part 2","Elseworlds, Part 2",0,2018,42,"Action,Adventure,Crime",9.0,2654,['James Bamford'],"['David Ramsey', 'Stephen Amell', 'Echo Kellum', 'Emily Bett Rickards']"
115,1050728,tt7536382,tvEpisode,Islands: Part One,Islands: Part One,0,2018,43,Drama,7.8,1720,"[""Bill D'Elia""]","['Nicholas Gonzalez', 'Freddie Highmore', 'Antonia Thomas', 'Chuku Modu']"
116,999766,tt6439888,tvEpisode,The Beginning Is the End Is the Beginning,The Beginning Is the End Is the Beginning,0,2018,44,"Comedy,Drama,Romance",8.9,1173,['Ken Olin'],"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
117,1009444,tt6653454,tvEpisode,Chapter 9,Chapter 9,0,2018,61,"Action,Drama,Sci-Fi",8.6,2500,['Tim Mielants'],"['Bill Irwin', 'Dan Stevens', 'Aubrey Plaza', 'Rachel Keller']"
